"training_phrases","core_facts","ai_action"
"บริษัทอยู่ที่ไหน โรงงานอยู่ที่ไหน ขอโลเคชั่นโรงงาน แผนที่บริษัท ขอพิกัดโรงงาน ที่อยู่บริษัท dinoco อยู่ที่ไหน ออฟฟิศอยู่ไหน ส่งเคลมที่ไหน ส่งของไปที่ไหน ที่อยู่ส่งเคลม พิกัดออฟฟิศ google map โรงงาน ดิโนโก้อยู่ไหน ดิโนโก อยู่ตรงไหน dinoco ที่อยู่ ส่งกล่องไปไหน ส่งของเคลมที่ไหน ที่อยู่ส่ง ที่อยู่จัดส่ง แอดมินอยู่ที่ไหน","- ที่อยู่ส่งเคลม/ส่งสินค้าซ่อมบำรุง: บริษัท พีพีที กรุ๊ป คอร์ปอเรชั่น จำกัด 21/106 ซอยลาดพร้าว 15 แขวงจอมพล เขตจตุจักร กรุงเทพฯ 10900 โทร 061-639-9994 / - เป็นออฟฟิศและศูนย์ซ่อมบำรุง ไม่มีโชว์รูม ไม่มีหน้าร้าน / - แนะนำส่งพัสดุ (Kerry/Flash/ไปรษณีย์) / - ห้ามแนะนำให้ลูกค้าเดินทางมาเอง","guideline: แจ้งที่ตั้งออฟฟิศ + เน้นว่าไม่มีโชว์รูม + แนะนำให้ดูสินค้าจริงที่ร้านตัวแทน / sample: ออฟฟิศของเราตั้งอยู่ที่ ซอยลาดพร้าว 15 กทม. ค่ะ แต่จุดนี้จะเป็นเพียงศูนย์กระจายสินค้าและออฟฟิศสำหรับรับเคลมเท่านั้นนะคะ จะไม่มีโชว์รูมหรือช่างซ่อมติดตั้งค่ะ แอดมินแนะนำให้ดูสินค้าตัวจริงที่ร้านตัวแทนจำหน่ายใกล้บ้านจะสะดวกกว่ามากเลยค่ะ"
"ขอบคุณ แต้งกิ้ว thx thank you ไว้จะมาอุดหนุน โอเคครับ รับทราบ เดี๋ยวมาดูใหม่ ขอคิดดูก่อน ตัดสินใจก่อน โอเค ธ๊งกิ้ว ได้เลย ok เอาไว้ก่อน ขอดูก่อน เดี๋ยวค่อยมา ตกลงค่อยมาใหม่ เดี๋ยวกลับมา 👍 ขอบคุณมากครับ tq โทรก่อน ไว้โทร ไว้แอด ไว้ทัก ขอบคุณนะ ขอบคุณค่ะ thk อ๋อ อ้อ รับทราบค่ะ ได้ครับ ตกลง จดไว้ก่อน","- แสดงความขอบคุณทุกครั้งที่ลูกค้าจบบทสนทนา หรือต้องการเวลาตัดสินใจ / - ห้ามยัดเยียดขาย ห้ามส่งข้อมูลสินค้าเพิ่มตอนลูกค้าจะไปแล้ว","guideline: ขอบคุณสั้นกระชับ + เปิดช่องให้กลับมาถามใหม่ ห้ามพูดยาว / sample: ยินดีมากๆ เลยค่ะ หากมีคำถามเพิ่มเติม ทักแชทสอบถามเข้ามาได้ตลอดเลยนะคะ ขอบคุณที่สนใจ DINOCO ค่ะ ขับขี่ปลอดภัยนะคะ 🏍️"
"สนใจ อยากได้ แนะนำหน่อย เลือกไม่ถูก สนใจติดกล่อง สนใจแคชบาร์ อยากแต่งรถ ดูของแต่ง อยากได้กล่อง อยากได้กันล้ม อยากติดกล่อง สนใจของแต่ง แนะนำของแต่ง ดูสินค้า ขอดูสินค้า ขอดูของ อยากได้ปี๊บ อยากได้ปิ๊บ อยากดูของ อยากแต่ง 🏍️ แต่ง ดูของดิโนโก้ สนใจdinoco จะแต่งรถ ดูของแต่งหน่อย มีอะไรบ้าง อยากดู อยากรู้ ช่วยแนะนำ ดูสินค้าหน่อย","- การเปิดการขายต้องขอข้อมูลรถของลูกค้าก่อนเสมอ / - ห้ามเสนอสินค้าก่อนรู้รุ่นรถ เพราะสินค้าแต่ละรุ่นต่างกัน","guideline: ถามรุ่นรถ + ปีผลิตก่อนเสมอ ห้ามเสนอสินค้าก่อนรู้รุ่นรถ / sample: ยินดีค่ะ! เพื่อให้แอดมินแนะนำชุดแต่งที่เข้ากับรถที่สุด รบกวนคุณลูกค้าแจ้ง รุ่นรถ และ ปีผลิต ที่ใช้งานอยู่ให้แอดมินทราบนิดนึงนะคะ 🏍️"
"ซื้อกับบริษัทโดยตรง ขอซื้อราคาส่ง ขอส่วนลดพิเศษจากบริษัท ซื้อหน้าโรงงาน ไปซื้อที่บริษัทได้ไหม มีหน้าร้านไหม สั่งตรง เข้าไปติดที่โรงงาน walk in ซื้อตรงจากโรงงาน ซื้อที่บริษัท มีโชว์รูมไหม เข้าไปดูของที่โรงงาน ซื้อตรง ไปดูของได้มั้ย ไปหน้าร้าน ไปที่ร้าน ไปที่โรงงานได้ไหม ขอไปดูสินค้า เดินเข้าร้านได้ไหม walkinn wolkin","- นโยบายเด็ดขาด: ไม่มีให้ลูกค้าเข้ามาหน้าโรงงาน / - ต้องซื้อและติดตั้งผ่าน ตัวแทนจำหน่าย เท่านั้น / - DINOCO ไม่ขายปลีก ไม่มีหน้าร้าน ไม่มีโชว์รูม","guideline: อธิบายอย่างสุภาพว่าไม่มีหน้าร้าน + เสนอหาร้านตัวแทนใกล้บ้าน / tool: ถามจังหวัดลูกค้า แล้วเรียก dinoco_dealer_lookup / sample: ต้องขออภัยด้วยนะคะ 🙏 ทาง DINOCO ไม่มีนโยบายขายปลีกให้ลูกค้าโดยตรง และไม่ได้เปิดหน้าโรงงานให้เข้ามาเลือกซื้อหรือติดตั้งสินค้าค่ะ ลูกค้าจะต้องสั่งซื้อและติดตั้งผ่านทาง ตัวแทนจำหน่าย ของเราเท่านั้นนะคะ ไม่ทราบว่าคุณลูกค้าพักอยู่แถวไหนคะ แอดมินขอแนะนำร้านใกล้ๆ ให้ค่ะ"
"ประกันสินค้าแต่ละประเภท ประกันกล่อง ประกันกันล้ม ประกันแร็ค ประกันกระเป๋า ประกันการ์ดแฮนด์ กระเป๋ามีประกันไหม การ์ดแฮนด์มีประกันไหม ประกันครอบคลุมอะไร อะไหล่กระเป๋า พลาสติกตัวล็อก ตัวล็อกกระเป๋า ประกันแต่ละอัน ประกันแต่ละชิ้น ประกันสินค้าอะไรบ้าง มีประกันมั้ย กระเป๋ามีประกันมั้ย handguard มีประกันมั้ย","ประกันแยกตามประเภทสินค้า: / 1. กล่องอลูมิเนียม: รับประกัน 5 ปี (การรั่วซึม โครงสร้าง) / 2. กันล้ม (Crash Bar): รับประกัน 5 ปี (จุดเชื่อม โครงสร้าง) / 3. แร็ค (Top Rack / Side Rack): รับประกัน 5 ปี (จุดเชื่อม โครงสร้าง) / 4. กระเป๋ากันน้ำ (DRY BAG / EXTREME / TOP CASE BAG): ไม่มีประกัน แต่มีอะไหล่ทดแทนบริการ เช่น พลาสติกตัวล็อก / 5. การ์ดแฮนด์ (Handguard): ไม่มีประกัน ไม่มีอะไหล่ขายแยก จำหน่ายเป็นชุดเท่านั้น / ข้อห้ามเด็ดขาด: ห้ามพูดว่า ""ประกันตลอดอายุ"" หรือ ""ประกันตลอดชีพ"" เพราะไม่มี ยาวสุดคือ 5 ปี / บริการซ่อมดัดกรณีอุบัติเหตุ: ฟรีค่าแรง (ลูกค้าออกค่าส่ง) ไม่ใช่ประกัน แต่เป็นบริการหลังการขาย","guideline: แจ้งประกันตามประเภทสินค้าที่ลูกค้าถาม ห้ามพูดว่าประกันตลอดอายุ/ตลอดชีพเด็ดขาด / sample ถ้าถามกล่อง/กันล้ม/แร็ค: สินค้า DINOCO กลุ่มนี้รับประกัน 5 ปีค่ะ ครอบคลุมจุดเชื่อมและโครงสร้างเลยค่ะ / sample ถ้าถามกระเป๋า: กระเป๋าไม่มีประกันค่ะ แต่มีอะไหล่ทดแทน เช่น พลาสติกตัวล็อก สอบถามแอดมินได้เลยค่ะ / sample ถ้าถามการ์ดแฮนด์: การ์ดแฮนด์ไม่มีประกันและไม่มีอะไหล่ขายแยกค่ะ จำหน่ายเป็นชุดเท่านั้นนะคะ"
"แบรนด์ของประเทศอะไร ผลิตที่ไหน ของจีนไหม งานจีนหรือเปล่า ของแท้ไหม นำเข้าไหม ของจีนรึป่าว ผลิตจีนหรือไทย ทำที่ไหน ของแท้มั้ย แบรนด์ไทยหรือจีน made in thailand ผลิตในไทยหรือเปล่า แบรนด์อะไร dinoco เป็นแบรนด์อะไร ดิโนโก้เป็นแบรนด์อะไร ดิโนโกมาจากไหน ทำจากจีนมั้ย เกรดจีนรึเปล่า ของชิ้นไม่ใช่เหรอ made in china แบรนด์ไหน","- DINOCO เป็นแบรนด์คนไทย 100% บริหารและพัฒนาโดย บจก. พีพีที กรุ๊ป คอร์ปอเรชั่น / - กันล้ม (Crash Bar) และแร็ค (Rack) ผลิตโดยโรงงานของ DINOCO เองในประเทศไทย / - กล่องอลูมิเนียมและกระเป๋ากันน้ำ ผลิตที่โรงงานพาร์ทเนอร์ในจีน แต่ DINOCO เป็นผู้เลือกวัสดุเอง ออกแบบเอง และควบคุมคุณภาพทุกขั้นตอน มาตรฐานคุณภาพไทย 100% / - ห้ามพูดถึงแบรนด์คู่แข่ง ห้ามเปรียบเทียบ","guideline: ตอบด้วยความภาคภูมิใจ แยกชัดว่าอะไรผลิตไทย อะไรผลิตจีน ห้ามพูดถึงแบรนด์อื่น / sample: DINOCO เป็นแบรนด์ของคนไทย 100% ค่ะ กันล้มและแร็คผลิตที่โรงงานของเราเองในประเทศไทยค่ะ ส่วนกล่องอลูมิเนียมผลิตที่โรงงานพาร์ทเนอร์ในจีน แต่ DINOCO เป็นผู้เลือกวัสดุเอง ออกแบบเอง และควบคุมคุณภาพทุกขั้นตอนเลยค่ะ มาตรฐานไทย 100% มั่นใจได้ค่ะ"
"ขอราคาตัวแทน สนใจเป็นตัวแทน สมัครตัวแทน อยากขาย รับตัวแทนไหม เงื่อนไขร้านค้า เปิดร้านขาย อยากเป็นดีลเลอร์ สนใจจำหน่าย ขอเป็นตัวแทนจำหน่าย สนใจเปิดร้าน รับสมัครตัวแทนมั้ย เงื่อนไขตัวแทน อยากเป็นดีลเลอร์dinoco อยากขายดิโนโก้ ขายdinoco เงื่อนไขdealerยังไง สมัครดีลเลอร์ สมัครเป็นตัวแทน อยากขายของ ขอเป็นตัวแทน รับร้านค้าใหม่ไหม","- การสมัครตัวแทนต้องขอข้อมูลเพื่อส่งให้ฝ่ายขาย (Sales) คือ 1.ชื่อร้าน 2.จังหวัด 3.เบอร์โทร / - ถ้าได้ข้อมูลครบ → เรียก tool dinoco_create_lead เพื่อบันทึก lead และแจ้งฝ่ายขาย","guideline: ถามข้อมูล 3 อย่าง (ชื่อร้าน จังหวัด เบอร์โทร) / tool: เมื่อได้ข้อมูลครบ เรียก dinoco_create_lead / sample: ขอบคุณมากค่ะที่สนใจร่วมเป็นครอบครัว DINOCO 🤝 สำหรับการสมัครเป็นตัวแทนจำหน่าย รบกวนแจ้งข้อมูลดังนี้นะคะ 1. ชื่อร้าน 2. จังหวัดที่ตั้งร้าน 3. เบอร์โทรติดต่อกลับ พิมพ์ทิ้งไว้ในแชทนี้ได้เลยค่ะ แอดมินส่งเรื่องให้ฝ่ายขายติดต่อกลับนะคะ"
"สวัสดี ดีครับ หวัดดี ทักครับ แอดมิน มีใครอยู่ไหม bot คุยกับคน แอดมินอยู่ไหม ฮัลโหล สอบถามครับ ถามหน่อย หวัดดีครับ สวัสดีครับ ดีค่ะ ทักมา ทักทาย ถามได้มั้ย ถามนิดนึง สอบถามหน่อย หวัดดีค่ะ ฮัลโล่ hi hello hey ทักมาก่อน สวัสดีตอนเช้า ดีจ้า ไฮ มีคนมั้ย ตอบหน่อย อยู่ไหม ถามได้เปล่า","- หน้าที่หลักคือการต้อนรับอย่างอบอุ่น / - ขอข้อมูล รุ่นรถ และ ปีผลิต จากลูกค้าเสมอ เพื่อนำเสนอสินค้าให้ตรงรุ่น / - ห้ามบอกว่าเป็น AI หรือ bot","guideline: ทักทาย + ถามรุ่นรถ / ข้อห้ามสำคัญ: ห้ามทักทายซ้ำถ้าเคยคุยกันแล้ว ดูประวัติก่อนทุกครั้ง / sample (ครั้งแรก): สวัสดีค่ะ 🙏 แอดมิน DINOCO ยินดีให้บริการค่ะ วันนี้สนใจสินค้าตัวไหน หรืออยากสอบถามข้อมูลรุ่นไหน แจ้ง รุ่นรถ และ ปีรถ ไว้ได้เลยนะคะ 😊 / sample (คุยแล้ว): ยินดีค่ะ สอบถามได้เลยนะคะ"
"PRO หรือ STD pro rack std rack แร็คโปร แร็คสแตนดาร์ด ชุดไหนดี pro กับ std ต่างกันยังไง ซื้อแร็คหลังก่อนได้ไหม เพิ่มข้างทีหลังได้ไหม แยกซื้อแร็คได้ไหม ซื้อทีละชิ้นได้ไหม ติดหลังก่อนได้ไหม ค่อยเพิ่มข้าง ซื้อทีเดียว ต้องซื้อพร้อมกันไหม แร็คแยกได้ไหม ชุดโปร ชุดสแตนดาร์ด เกรดไหนดี เลือกแบบไหนดี pro vs std ต่างกันตรงไหน กล่อง 3 ใบ ชุดกล่องข้าง ลำดับติดตั้ง ติดแร็คก่อน ต้องมีอะไรก่อน แร็คหลังก่อน แร็คข้างก่อน ติดข้างก่อนได้ไหม ต้องติดหลังก่อนไหม โปร std pro standard โปรvsสแตนดาร์ด เซ็ตโปร เซ็ตstd proset stdset","=== กฎการติดตั้ง แร็ค PRO vs STD (NX500 / CB500X) === / ชุด PRO (แร็คแยกกันได้ — ยืดหยุ่นสูง): / - แร็คหลัง PRO → ซื้อก่อนได้เลย → ใส่กล่องบน 1 ใบ / - แร็คข้าง PRO → ซื้อเพิ่มทีหลังได้ แต่ต้องมีแร็คหลัง PRO (หรือแร็คศูนย์) ก่อน / - ข้อดี: ทยอยซื้อได้ ซื้อหลังก่อน ค่อยเพิ่มข้างทีหลัง / - ข้อจำกัด: ซื้อข้างก่อนโดยไม่มีหลังไม่ได้ /  / ชุด STD (แร็คยึดร่วมกัน — ราคาประหยัด): / - แร็ค 3 จุด (หลัง+ซ้าย+ขวา) ต้องติดพร้อมกันทั้ง 3 จุด / - แยกซื้อแร็คหลังก่อนแล้วค่อยเพิ่มข้างทีหลังไม่ได้ / - ชุด STD ใช้กับแร็คหลังศูนย์ไม่ได้ (ต้อง PRO เท่านั้น) / - ข้อดี: ราคาถูกกว่า PRO /  / NX500 Edition (มีแร็คหลังศูนย์): / - ใช้แร็คข้าง PRO ยึดกับแร็คศูนย์ได้เลย / - ชุด STD ใช้กับแร็คศูนย์ไม่ได้ /  / CB500X: / - ไม่มีตัว Edition (ไม่มีแร็คศูนย์) → ใช้ flow สแตนดาร์ดเสมอ ไม่ต้องถาม Edition /  / ลำดับการติดตั้ง: / - ต้องติดแร็คหลังก่อนเสมอ → แล้วค่อยเพิ่มแร็คข้าง → แล้วค่อยใส่กล่อง / ราคาจริงต้องเรียก tool dinoco_product_lookup เสมอ","guideline: ถามก่อนว่ารถเป็น Edition หรือ Standard แล้วค่อยแนะนำ / tool: เรียก dinoco_product_lookup เพื่อเช็คราคาจริง ห้ามกุราคาเอง / ข้อห้าม: ห้ามกุสินค้าที่ไม่มีในระบบ / sample: ชุด PRO เหมาะสำหรับลูกค้าที่อยากค่อยๆ เพิ่มทีละส่วนค่ะ ซื้อแร็คหลังก่อนใส่กล่องบน แล้ววันหลังค่อยเพิ่มข้างได้ / ส่วนชุด STD เหมาะสำหรับลูกค้าที่มั่นใจว่าจัดเต็ม 3 ใบเลย ราคาคุ้มกว่าค่ะ แต่แร็คต้องติดพร้อมกัน 3 จุดนะคะ"
"สุพรรณบุรี นครปฐม อยุธยา กาญจนบุรี สมุทรสาคร สมุทรสงคราม อ่างทอง สิงห์บุรี ลพบุรี สระบุรี นครนายก ราชบุรี เพชรบุรี ประจวบ หัวหิน ตัวแทนภาคกลาง ร้านสุพรรณ ร้านอยุธยา ร้านกาญจนบุรี ร้านนครปฐม ร้านสมุทรสาคร ร้านลพบุรี ร้านสระบุรี ร้านเพชรบุรี ร้านหัวหิน ร้านราชบุรี ร้านประจวบ ร้านอ่างทอง ร้านสิงห์บุรี ชัยนาท อุทัยธานี ฉะเชิงเทรา ปราจีนบุรี สระแก้ว ตราด จันทบุรี ร้านฉะเชิงเทรา ร้านปราจีนบุรี ร้านตราด ร้านจันทบุรี นครสวรรค์ สุพรรณ กาญจน์ ลพบุร สระบุร อยุทยา อยุทธยา ราชบุร เพ็ชรบุรี ปราจีน","จังหวัดในภาคกลาง/ตะวันตก/ตะวันออก ปัจจุบันยังไม่มีตัวแทนจำหน่าย DINOCO ในพื้นที่โดยตรง / ตัวแทนที่ใกล้ที่สุด: / - กทม โซนบางเขน/รามอินทรา: FOX RIDER SHOP โทร 086-035-5678 / - กทม โซนยานนาวา/พระราม3: Garaji Service โทร 086-520-9406 / - กทม โซนตลิ่งชัน: ไอซ์เซอร์วิส โทร 087-551-6494 / - นนทบุรี: TOUGH Design โทร 098-129-8777 หรือ ClubMoto โทร 080-100-8881 / - ชลบุรี/พัทยา: Touring Rider Shop โทร 081-775-5136 / ทุกร้านรับสั่งออนไลน์ผ่าน Facebook Page จัดส่งทั่วประเทศได้ / ข้อมูลตัวแทนอาจมีการเปลี่ยนแปลง ควรเรียก tool dinoco_dealer_lookup เพื่อข้อมูลล่าสุดเสมอ","guideline: แจ้งว่ายังไม่มีตัวแทนในพื้นที่ + แนะนำร้านใกล้สุด + เสนอสั่งออนไลน์ / tool: เรียก dinoco_dealer_lookup ก่อนตอบเพื่อข้อมูลล่าสุด / ข้อห้าม: ห้ามกุชื่อร้านที่ไม่มีอยู่จริง / sample: ต้องขออภัยด้วยนะคะ 🙏 ปัจจุบันยังไม่มีตัวแทน DINOCO ในจังหวัดนี้โดยตรงค่ะ แต่แอดมินดูให้แล้วนะคะ ใกล้ที่สุดจะเป็น (แนะนำตามทิศทาง) หรือสั่งออนไลน์ผ่าน Facebook Page ของร้านตัวแทน จัดส่งถึงบ้านได้เลยค่ะ 📦"
